x_m,y_m,width_left_m,width_right_m,vx_mps
-62.3183047,36.7604768,0.7509467,1.3636428,15
-62.378506,36.8402855,0.7504707,1.3641187,15
-62.4388935,36.9199546,0.7516188,1.3645818,15
-62.4994658,36.9994844,0.7527668,1.3650448,15
-62.5602218,37.0788754,0.7539148,1.3655079,15
-62.6211601,37.1581277,0.7550628,1.3659709,15
-62.6822796,37.2372416,0.7562109,1.3664339,15
-62.7435789,37.3162176,0.7573589,1.366897,15
-62.8050569,37.3950559,0.7585069,1.36736,15
-62.8667122,37.4737568,0.759655,1.3678231,15
-62.928543,37.5523199,0.760803,1.3682861,15
-62.990543,37.6307393,0.7625316,1.3677851,15
-63.0527162,37.7090228,0.7651821,1.3657535,15
-63.1150609,37.7871711,0.7678325,1.3637219,15
-63.1775754,37.8651848,0.770483,1.3616903,15
-63.2402582,37.9430647,0.7731335,1.3596586,15
-63.3031076,38.0208116,0.7757839,1.357627,15
-63.3661219,38.0984261,0.7784344,1.3555954,15
-63.4292996,38.175909,0.7810849,1.3535638,15
-63.4926389,38.253261,0.7837353,1.3515321,15
-63.5561378,38.3304821,0.7863858,1.3495005,15
-63.6197897,38.4075674,0.7896403,1.3467962,15
-63.6835985,38.4845241,0.7939556,1.3429107,15
-63.7475626,38.5613529,0.7982709,1.3390252,15
-63.8116803,38.6380547,0.8025862,1.3351397,15
-63.8759501,38.7146303,0.8069015,1.3312541,15
-63.9403705,38.7910805,0.8112168,1.3273686,15
-64.0049398,38.867406,0.8155321,1.3234831,15
-64.0696564,38.9436078,0.8198474,1.3195975,15
-64.1345189,39.0196865,0.8241627,1.315712,15
-64.1995252,39.0956425,0.828478,1.3118265,15
-64.2646695,39.1714718,0.8333668,1.3092444,15
-64.329955,39.2471806,0.8393724,1.3092013,15
-64.3953801,39.3227698,0.8453781,1.3091581,15
-64.4609433,39.3982402,0.8513838,1.309115,15
-64.5266431,39.4735926,0.8573894,1.3090718,15
-64.5924779,39.5488281,0.8633951,1.3090286,15
-64.6584462,39.6239473,0.8694008,1.3089855,15
-64.7245466,39.6989513,0.8754064,1.3089423,15
-64.7907775,39.7738409,0.8814121,1.3088992,15
-64.857137,39.8486164,0.8874177,1.308856,15
-64.9236207,39.9232757,0.8922325,1.3068131,15
-64.9902305,39.9978232,0.894465,1.3004342,15
-65.0569648,40.0722599,0.8966975,1.2940554,15
-65.1238221,40.1465868,0.89893,1.2876765,15
-65.1908011,40.2208047,0.9011625,1.2812976,15
-65.2579002,40.2949146,0.903395,1.2749188,15
-65.325118,40.3689174,0.9056275,1.2685399,15
-65.392453,40.4428141,0.90786,1.2621611,15
-65.4599037,40.5166056,0.9100925,1.2557822,15
-65.5274686,40.5902926,0.912325,1.2494033,15
-65.5951446,40.6638745,0.9146851,1.2455164,15
-65.6629321,40.7373541,0.9173546,1.2476707,15
-65.7308295,40.8107323,0.9200241,1.249825,15
-65.7988356,40.8840101,0.9226936,1.2519792,15
-65.8669488,40.9571887,0.9253631,1.2541335,15
